,School Code,Enrollment Percent_Low-Income,Enrollment Percent_SoC,SBA ELA 3Y Average Percent_Low-Income,SBA ELA 3Y Average Percent_SoC,SBA Math 3Y Average Percent_Low-Income,SBA Math 3Y Average Percent_SoC,Component 1,Component 2,Component 3,Segment KMeans PCA,Segment,SchoolCode,School Name,LEANameForCharterComparison,Lat,Lon
0,1516,0.39864864864864863,0.0,0.400000005722046,0.0,0.0,0.0,-0.603917495500941,-0.4107692802360194,0.11521297325485139,3,fourth,1516,Henderson Bay Alt High School,Peninsula School District,47.3337062532558,-122.602960989414
1,1537,0.5897435897435898,0.0,0.28409089209619703,0.0,0.0,0.0,-0.6897196873359207,-0.29297444125521227,0.06824261521867109,3,fourth,1537,State Street High School,Sedro-Woolley School District,48.5033971306309,-122.22777110677
2,1539,0.3987730061349693,0.6196319018404908,0.7358490830852971,0.740259758596538,0.509433980597513,0.629213475199785,0.5321079963959253,0.10222846759190611,-0.20047000406579676,2,third,1539,CHOICE Academy,Highline School District,47.4385090521344,-122.324476945029
3,1567,0.0,0.4444444444444444,0.0,0.0,0.0,0.0,-0.4828038585143317,-0.19240802261305573,0.691764499747149,4,fifth,1567,Eagle Peak at Pratt,Spokane School District,47.6534569267814,-117.312141314736
4,1579,0.2670807453416149,0.5196687370600414,0.586805542310079,0.6213808252081979,0.5,0.5590200085537571,0.4065928613396844,-0.03937313032233969,-0.050844083136261986,2,third,1579,Tops K-8 School,Seattle Public Schools,47.6425621764336,-122.324406490421
5,1596,0.0,0.9628099173553719,0.0,0.181818183295983,0.0,0.27659574921393393,-0.11299829217944297,0.2659161037593877,0.8088618355447452,4,fifth,1596,Seattle World School,Seattle Public Schools,47.6130403073012,-122.309675715528
6,1613,0.6075471698113207,0.0,0.0,0.0,0.0,0.0,-0.753678099416087,-0.24124192664112562,0.22377922989162136,3,fourth,1613,Westside High School,Wenatchee School District,47.4328485552118,-120.339838111361
7,1620,0.14549180327868852,0.3114754098360656,0.445161279366739,0.5652173893376711,0.374193551483313,0.478260840065068,0.2713237802977897,-0.25373576038403933,0.11974807782655628,2,third,1620,Pathfinder K-8 School,Seattle Public Schools,47.5640044982449,-122.357424789647
8,1627,0.5238095238095238,0.0,0.40625000279396795,0.0,0.0,0.0,-0.6432890736784465,-0.34587165539523873,0.03637039494835622,3,fourth,1627,Yelm Extension School,Yelm School District,46.90957,-122.57158
9,1635,0.8061797752808989,0.8960674157303371,0.16810344274772598,0.0841121465339965,0.0,0.0,-0.580943456745291,0.5868302705383518,0.2125926086525132,1,second,1635,Interagency Programs,Seattle Public Schools,47.54784,-122.31447
10,1640,0.432,0.28,0.30973451125779605,0.0,0.0980392133488375,0.0,-0.5663432758427542,-0.15518025723444953,0.16459139987622068,3,fourth,1640,Puyallup Online Academy/POA,Puyallup School District,47.1615654463402,-122.301273676924
11,1647,0.6304347826086957,0.0,0.0,0.0,0.0,0.0,-0.7611118489781419,-0.2292039362085401,0.2100303938494177,3,fourth,1647,Options High School,Bellingham School District,48.7570659323615,-122.474883873465
12,1656,0.2658959537572254,0.41040462427745666,0.522522539705844,0.6000000176062961,0.423423432015084,0.5,0.31036428013346123,-0.12000466843105922,0.0002896434750568589,2,third,1656,10th Street School,Marysville School District,48.0614697238142,-122.195086689401
13,1685,0.12050739957716702,0.33192389006342493,0.674157317818573,0.7387387559220601,0.651685428655505,0.775193768878316,0.6787602021967126,-0.27604266885658885,-0.13421031654776266,2,third,1685,Maplewood Parent Coop,Edmonds School District,47.8176628674084,-122.34799
14,1689,0.23195876288659795,0.2766323024054983,0.8116591479499321,0.8157894281139019,0.399103116805992,0.47787609006236603,0.48000365520190363,-0.2759676082197431,-0.17062048982749362,2,third,1689,Vancouver School of Arts and Academics,Vancouver School District,45.6438817962826,-122.669372392933
15,1706,0.0,0.6359447004608295,0.0,0.9734218768903191,0.0,0.969899664783788,0.7626370837268709,0.09066387098673387,0.7205547173155821,2,third,1706,International Community School,Lake Washington School District,47.6645428674084,-122.191861081081
16,1707,0.41843971631205673,0.0,0.0,0.0,0.0,0.0,-0.6922572137135524,-0.34070506139914897,0.33737811831821307,3,fourth,1707,Lincoln Hill High School,Stanwood-Camano School District,48.2429208224503,-122.332992962488
17,1708,0.43243243243243246,0.0,0.555555542310079,0.0,0.33333333333333304,0.0,-0.5131435114010363,-0.44167844648399596,-0.1603574452953228,3,fourth,1708,Sequim Community School,Sequim School District,48.0824839834817,-123.105831324351
18,1712,0.3117408906882591,0.14777327935222673,0.559870562507111,0.666666666666667,0.5242718446601939,0.55645163002173,0.357943255368952,-0.3189072098440188,-0.1607306746528756,2,third,1712,Continuous Curriculum School,East Valley School District (Spokane),47.7003228674084,-117.1754075
19,1714,0.16666666666666666,0.0,0.37931034057517404,0.0,0.166666666666667,0.0,-0.49786195697511676,-0.5424366413802687,0.1845456908680831,3,fourth,1714,Stillaguamish Valley Learning Center,Arlington School District,48.1978465859916,-122.11366564725
20,1718,0.33004926108374383,0.28078817733990147,0.574074056413439,0.0,0.20183487382363396,0.0,-0.45720512709580463,-0.2555057729358755,0.020195861057270604,3,fourth,1718,Explorer Academy,South Kitsap School District,47.5240826919413,-122.627742851903
21,1724,0.4482758620689655,0.0,0.520000038909914,0.0,0.29411764829628995,0.0,-0.5337929958757005,-0.42504524334727906,-0.12974586726068546,3,fourth,1724,PI Program,Chimacum School District,47.98281,-122.77098
22,1749,0.34375,0.0,0.44000002632141205,0.0,0.153846152788083,0.0,-0.5456376580018019,-0.45736885396036164,0.048975693133857745,3,fourth,1749,Bremerton Home Link Program,Bremerton School District,47.56442384792,-122.662248283329
23,1755,0.4517766497461929,0.18781725888324874,0.48790322543431,0.553571430396061,0.245967757193281,0.267857151980303,-0.0006726956209897182,-0.20454749756264382,-0.054232361743183785,0,first,1755,West Valley City School,West Valley School District (Spokane),47.6604623952132,-117.284250826761
